Templates
BF0C
61
61
70
70
70
70
70
70
—
A5
70
70
—
BF0C
BF0C
BF0C
BF0C
BF0C
—
70
—
—
—
—
61
—
—
—
77
—
6F
71
61
A5
—
—
70
70
70
70
70
—
70
70
77
—
70
—
—
—
—
—
61
—
—
—
—
70
—
70
70
—
70
70
70
70
77
A5
61
—
70
—
—
—
71
—
—
—
—
—
70
70
—
—
70
77
77
70
70
70
70
—
—
—
77
—
A5
—
—
70
—
—
—
—
70
70
70
—
70
70
70
70
70
77
—
BF0C
—
—
6F
A5
73
""
A5
77
77
77
77
77
77
""
""
77
77
""
73
73
73
73
73
""
77
""
""
""
""
""
""
""
""
80
""
""
72
A5
""
""
""
77
77
77
77
77
""
77
77
80
""
77
""
""
""
""
""
""
""
""
""
""
77
""
77
77
""
77
77
77
77
80
""
A5
""
77
""
""
""
72
""
""
""
""
""
77
77
""
""
77
80
80
77
77
77
77
""
""
""
80
""
""
""
""
77
""
""
""
""
77
77
77
""
77
77
77
77
77
80
""
73
""
""
""
""
